"","stems","completed"
"ineffect","ineffect","ineffective"
"inequ","inequ","inequality"
"inequalityreinforc","inequalityreinforc","inequalityreinforcing"
"inexpens","inexpens","inexpensive"
"infect","infect","infection"
"infer","infer","inference"
"infinit","infinit","infinitely"
"influenc","influenc","influence"
"inform","inform","information"
"informed","informed","informed"
"infrastructur","infrastructur","infrastructural"
"ingest","ingest","ingesting"
"inher","inher","inherent"
"inherit","inherit","inheriting"
"initi","initi","initiate"
"injustic","injustic","injustice"
"innov","innov","innovations"
"inpati","inpati","inpatient"
"input","input","input"
"inroad","inroad","inroads"
"insight","insight","insights"
"inspir","inspir","inspired"
"instanc","instanc","instances"
"instanti","instanti","instantiated"
"instead","instead","instead"
"institut","institut","institutional"
"instrument","instrument","instrument"
"insuffici","insuffici","insufficient"
"insur","insur","insurance"
"integ","integ","integer"
"integr","integr","integration"
"intellectu","intellectu","intellectual"
"intellig","intellig","intelligence"
"intend","intend","intended"
"intens","intens","intensive"
"intent","intent","intention"
"interact","interact","interaction"
"interag","interag","interagency"
"interchang","interchang","interchangeably"
"interdisciplinari","interdisciplinari",""
"interest","interest","interest"
"interfac","interfac","interfaces"
"intern","intern","internal"
"interorganiz","interorganiz","interorganizational"
"interperson","interperson","interpersonal"
"interplay","interplay","interplay"
"interpret","interpret","interpretation"
"interraci","interraci","interracial"
"intersect","intersect","intersectional"
"interven","interven","interventions"
"intervent","intervent","interventions"
"interview","interview","interviews"
"intrins","intrins","intrinsic"
"introduc","introduc","introduce"
"introduct","introduct","introduction"
"intuit","intuit","intuitive"
"invest","invest","investigate"
"investig","investig","investigate"
"invit","invit","invite"
"invok","invok","invoke"
"involv","involv","involve"
"ira","ira","ira"
"isol","isol","isolation"
"issu","issu","issues"
"italian","italian","italian"
"item","item","items"
"itembas","itembas","itembased"
"job","job","job"
"joint","joint","joint"
"journalist","journalist","journalistic"
"judg","judg","judges"
"judici","judici","judicial"
"just","just","justice"
"justic","justic","justice"
"justif","justif","justifications"
"justifi","justifi","justifications"
"kcluster","kcluster","kclustering"
"kearn","kearn","kearns"
"keep","keep","keep"
"key","key","key"
"kind","kind","kind"
"kmean","kmean","kmeans"
"kmedian","kmedian","kmedian"
"knearest","knearest","knearest"
"know","know","knowledge"
"knowledg","knowledg","knowledge"
"known","known","known"
"korean","korean","korean"
"kshot","kshot","kshot"
"label","label","labels"
"lack","lack","lack"
"landscap","landscap","landscape"
"langford","langford","langford"
"languag","languag","language"
"larg","larg","large"
"larger","larger","larger"
"largescal","largescal","largescale"
"last","last","last"
"latter","latter","latter"
"law","law","law"
"lay","lay","lay"
"layer","layer","layer"
"layman","layman","laymans"
"lead","lead","lead"
"leaderboard","leaderboard","leaderboards"
"learn","learn","learning"
"learner","learner","learner"
"learningdriven","learningdriven","learningdriven"
"learningtheoret","learningtheoret","learningtheoretic"
"least","least","least"
"leaveoneout","leaveoneout","leaveoneout"
"led","led","led"
"legaci","legaci","legacies"
"legal","legal","legal"
"legales","legales","legalese"
"legallyrelev","legallyrelev","legallyrelevant"
"legaltechn","legaltechn","legaltechnical"
"legibl","legibl","legible"
"legisl","legisl","legislation"
"legitim","legitim","legitimize"
"len","len","lending"
"lend","lend","lending"
"less","less","less"
"lesson","lesson","lessons"
"let","let","let"
"level","level","level"
"leverag","leverag","leverage"
"liber","liber","liberal"
"librari","librari",""
"life","life","life"
"lifecycl","lifecycl","lifecycle"
"light","light","light"
"like","like","like"
"likelihood","likelihood","likelihood"
"limit","limit","limitations"
"line","line","line"
"linear","linear","linear"
"linguist","linguist","linguistic"
"link","link","linkage"
"linkag","linkag","linkage"
"list","list","lists"
"literatur","literatur","literature"
"littl","littl","little"
"live","live","lives"
"livelihood","livelihood","livelihood"
"lloyd","lloyd","lloyds"
"loan","loan","loan"
"local","local","local"
"localis","localis","localising"
"locat","locat","location"
"logic","logic","logic"
"long","long","long"
"longestablish","longestablish","longestablished"
"longstand","longstand","longstanding"
"longtail","longtail","longtail"
"longterm","longterm","longterm"
"look","look","look"
"loop","loop","loop"
"los","los","loss"
"loss","loss","loss"
"lot","lot","lot"
"low","low","low"
"lower","lower","lower"
"lowest","lowest","lowest"
"lowrisk","lowrisk","lowrisk"
"loyalti","loyalti",""
"luck","luck","luck"
"machin","machin","machine"
"machinelearn","machinelearn","machinelearning"
"made","made","made"
"magnitud","magnitud","magnitude"
"main","main","main"
"maintain","maintain","maintaining"
"major","major","majority"
"make","make","make"
"maker","maker","makers"
"malici","malici","malicious"
"manag","manag","management"
"mani","mani","manipulation"
"manifest","manifest","manifested"
"manifold","manifold","manifold"
"manipul","manipul","manipulation"
"manner","manner","manner"
"manual","manual","manually"
"map","map","mapping"
"margin","margin","marginal"
"marit","marit","marital"
"mark","mark","mark"
"match","match","match"
"materi","materi","material"
"mathemat","mathemat","mathematical"
"matter","matter","matters"
"matthew","matthew","matthew"
"matur","matur","mature"
"maxim","maxim","maximize"
"maximum","maximum","maximum"
"may","may","may"
"mayjuli","mayjuli",""
"mcbrp","mcbrp","mcbrp"
"mean","mean","means"
"meaning","meaning","meaningful"
"meant","meant","meant"
"measur","measur","measure"
"mechan","mechan","mechanisms"
"media","media","media"
"medic","medic","medical"
"medicin","medicin","medicine"
"meet","meet","meet"
"member","member","membership"
"membership","membership","membership"
"memor","memor","memorization"
"mental","mental","mental"
"mere","mere","merely"
"merit","merit","merit"
"met","met","methods"
"metalearn","metalearn","metalearning"
"method","method","methods"
"methodolog","methodolog","methodological"
"metric","metric","metric"
"microcredit","microcredit","microcredit"
"might","might","might"
"migrat","migrat","migrate"
"mild","mild","mild"
"milder","milder","milder"
"million","million","million"
"mind","mind","mind"
"minim","minim","minimize"
"misdemeanor","misdemeanor","misdemeanor"
"misguid","misguid","misguided"
"mislead","mislead","misleading"
"mismatch","mismatch","mismatches"
"mismeasur","mismeasur","mismeasured"
"mispercept","mispercept","misperception"
"miss","miss","misses"
"misus","misus","misuse"
"mitig","mitig","mitigation"
"mix","mix","mixed"
"mixedmethod","mixedmethod","mixedmethod"
"modal","modal","modally"
"mode","mode","model"
"model","model","model"
"modelagnost","modelagnost","modelagnostic"
"modelcentr","modelcentr","modelcentric"
"moder","moder","modern"
"modern","modern","modern"
"modif","modif","modification"
"modular","modular","modular"
"moment","moment","moment"
"momentum","momentum","momentum"
"monitor","monitor","monitor"
"monoton","monoton","monotonic"
"mont","mont","monte"
"month","month","months"
"moral","moral","moral"
"moreov","moreov","moreover"
"mortgag","mortgag","mortgage"
"motiv","motiv","motivated"
"movielen","movielen","movielens"
"much","much","much"
"multidisciplinari","multidisciplinari",""
"multifacet","multifacet","multifaceted"
"multilay","multilay","multilayered"
"multilingu","multilingu","multilingualism"
"multiperspect","multiperspect","multiperspectivity"
"multipl","multipl","multiple"
"multitud","multitud","multitude"
"must","must","must"
"mutual","mutual","mutual"
"myth","myth","myth"
"naiv","naiv","naively"
"name","name","namely"
"narrat","narrat","narratives"
"narrow","narrow","narrowly"
"narrowli","narrowli",""
"nation","nation","national"
"nationwid","nationwid","nationwide"
"nativ","nativ","natively"
"natur","natur","natural"
"near","near","nearly"
"nearest","nearest","nearest"
"necess","necess","necessarily"
"necessari","necessari","necessarily"
"necessarili","necessarili",""
"necessit","necessit","necessitates"
"need","need","need"
"neel","neel","neel"
"negat","negat","negative"
"neglect","neglect","neglect"
"neglig","neglig","negligible"
"negoti","negoti","negotiated"
"neighbour","neighbour","neighbour"
"neither","neither","neither"
"net","net","networks"
"network","network","networks"
"neural","neural","neural"
"nevertheless","nevertheless","nevertheless"
"new","new","new"
"newli","newli",""
"news","news","news"
"next","next","next"
"nlp","nlp","nlp"
"nois","nois","noise"
"noisi","noisi",""
"nomin","nomin","nominally"
"nonafrican","nonafrican","nonafrican"
"nonbinari","nonbinari",""
"nonconform","nonconform","nonconformity"
"nonequ","nonequ","nonequals"
"nonfunct","nonfunct","nonfunctional"
"nonprofit","nonprofit","nonprofits"
"nontarget","nontarget","nontargeted"
"nontechn","nontechn","nontechnical"
"nontrivi","nontrivi","nontrivial"
"nonvulner","nonvulner","nonvulnerable"
"norm","norm","normative"
"normat","normat","normative"
"notar","notar","notare"
"notion","notion","notion"
"novel","novel","novel"
"novelti","novelti",""
"now","now","now"
"nuanc","nuanc","nuances"
"number","number","number"
"nytim","nytim","nytimes"
"obfusc","obfusc","obfuscate"
"object","object","objective"
"oblig","oblig","obligations"
"obscur","obscur","obscure"
"observ","observ","observations"
"obtain","obtain","obtain"
"obvious","obvious","obvious"
"occup","occup","occupation"
"occur","occur","occur"
"odd","odd","odds"
"offens","offens","offenses"
"offer","offer","offer"
"offic","offic","official"
"offici","offici","official"
"offlin","offlin","offline"
"offset","offset","offset"
"often","often","often"
"omit","omit","omits"
"one","one","one"
"ongo","ongo","ongoing"
"onlin","onlin","online"
"onto","onto","onto"
"opaqu","opaqu","opaque"
"open","open","open"
"oper","oper","operationalization"
"operation","operation","operationalization"
"operationalis","operationalis","operationalisation"
"opinion","opinion","opinions"
"opportun","opportun","opportunity"
"oppos","oppos","opposed"
"opposit","opposit","opposite"
"oppress","oppress","oppressed"
"optim","optim","optimal"
"optimizationbas","optimizationbas","optimizationbased"
"option","option","option"
"oracl","oracl","oracles"
"orchestr","orchestr","orchestrate"
"order","order","order"
"organ","organ","organizations"
"organis","organis","organisational"
"organiz","organiz","organizations"
"orient","orient","orientations"
"origin","origin","original"
"ostensiblycolorblind","ostensiblycolorblind","ostensiblycolorblind"
"other","other","others"
"otherwis","otherwis","otherwise"
"outcom","outcom","outcomes"
"outlin","outlin","outline"
"output","output","output"
"outreach","outreach","outreach"
"outsid","outsid","outside"
"outwardfac","outwardfac","outwardfacing"
"overal","overal","overall"
"overclaim","overclaim","overclaiming"
"overcom","overcom","overcomes"
"overload","overload","overload"
"overlook","overlook","overlooked"
"overrid","overrid","overriding"
"oversight","oversight","oversight"
"overview","overview","overview"
"packag","packag","packaging"
"paint","paint","paint"
"pair","pair","pairs"
"pairwis","pairwis","pairwise"
"paper","paper","paper"
"paradigm","paradigm","paradigm"
"paradox","paradox","paradox"
"parallel","parallel","parallel"
"paramet","paramet","parameterize"
"parameter","parameter","parameterize"
"pari","pari","parity"
"pariti","pariti",""
"part","part","particular"
"parti","parti","particular"
"partial","partial","partial"
"particip","particip","participants"
"participatori","participatori",""
"particular","particular","particular"
"pass","pass","passing"
"past","past","past"
"path","path","paths"
"patient","patient","patients"
"pattern","pattern","patterns"
"pave","pave","pave"
"pay","pay","pays"
"pedagogi","pedagogi",""
"peopl","peopl","people"
"per","per","performance"
"perceiv","perceiv","perceived"
"percentag","percentag","percentage"
"percept","percept","perceptions"
"perfect","perfect","perfectly"
"perform","perform","performance"
"perhap","perhap","perhaps"
"period","period","period"
"perpetr","perpetr","perpetrated"
"person","person","personalized"
"persona","persona","personalized"
"perspect","perspect","perspective"
"perturb","perturb","perturbed"
"pervas","pervas","pervasive"
"pervers","pervers","perversely"
"phenomenon","phenomenon","phenomenon"
"phenotyp","phenotyp","phenotypic"
"philadelphia","philadelphia","philadelphia"
"philosoph","philosoph","philosophers"
"philosophi","philosophi",""
"physiolog","physiolog","physiological"
"pick","pick","picks"
"pictur","pictur","picture"
"pilot","pilot","pilot"
"pipelin","pipelin","pipeline"
"pitfal","pitfal","pitfalls"
"place","place","place"
"plan","plan","planned"
"platform","platform","platform"
"play","play","play"
"plea","plea","plea"
"point","point","points"
"polar","polar","polarization"
"polic","polic","policy"
"polici","polici","policies"
"policymak","policymak","policymaking"
"polit","polit","political"
"politifact","politifact","politifact"
"poll","poll","polling"
"polynomi","polynomi","polynomial"
"polytop","polytop","polytope"
"poor","poor","poor"
"popul","popul","population"
"popular","popular","popular"
"populationlevel","populationlevel","populationlevel"
"portugues","portugues","portuguese"
"pose","pose","pose"
"posit","posit","positive"
"possibl","possibl","possible"
"post","post","posterior"
"posterior","posterior","posterior"
"postprocess","postprocess","postprocessed"
"posttransl","posttransl","posttranslation"
"pot","pot","potential"
"potenti","potenti","potential"
"poverti","poverti",""
"povertybas","povertybas","povertybased"
"power","power","power"
"powercent","powercent","powercentered"
"practic","practic","practice"
"practition","practition","practitioners"
"precis","precis","precision"
"predevelop","predevelop","predevelopment"
"predict","predict","predictions"
"predictor","predictor","predictor"
"prefer","prefer","preferences"
"preliminari","preliminari",""
"prerequisit","prerequisit","prerequisites"
"presenc","presenc","presence"
"present","present","present"
"presentday","presentday","presentday"
"preserv","preserv","preserving"
"press","press","press"
"pressur","pressur","pressure"
"pretrain","pretrain","pretrained"
"pretrial","pretrial","pretrial"
"prevail","prevail","prevail"
"preval","preval","prevalent"
"prevent","prevent","prevent"
"previous","previous","previous"
"price","price","price"
"primari","primari","primarily"
"primarili","primarili",""
"primit","primit","primitive"
"princip","princip","principles"
"principl","principl","principles"
"prior","prior","prior"
"priori","priori","prioritized"
"priorit","priorit","prioritized"
"prioriti","prioriti","prioritized"
"prisma","prisma","prisma"
"privaci","privaci",""
"privat","privat","private"
"proactiv","proactiv","proactive"
"probabl","probabl",""
"probe","probe","probe"
"problem","problem","problems"
"problemat","problemat","problematic"
"procedur","procedur","procedural"
"process","process","process"
"produc","produc","produce"
"product","product","product"
"profession","profession","professional"
"profil","profil","profiling"
"profitori","profitori","profitoriented"
"profound","profound","profoundly"
"program","program","program"
"programm","programm","programming"
"progress","progress","progress"
"project","project","project"
"prolifer","prolifer","proliferates"
"promin","promin","prominence"
"promis","promis","promises"
"promot","promot","promote"
"prompt","prompt","prompted"
"pronounsin","pronounsin","pronounsin"
"propag","propag","propagate"
"proper","proper","properties"
"properti","properti","properties"
"proport","proport","proportion"
"propos","propos","propose"
"proprietari","proprietari",""
"proprietorship","proprietorship","proprietorship"
"prospect","prospect","prospect"
"protect","protect","protection"
"protest","protest","protest"
"provabl","provabl","provably"
"prove","prove","prove"
"provid","provid","provide"
"provis","provis","provision"
"proxi","proxi","proxies"
"proxybas","proxybas","proxybased"
"psycholog","psycholog","psychological"
"public","public","public"
"publiclyobserv","publiclyobserv","publiclyobservable"
"publicpriv","publicpriv","publicprivate"
"publish","publish","published"
"purchas","purchas","purchase"
"pure","pure","pure"
"purport","purport","purported"
"purpos","purpos","purpose"
"pursu","pursu","pursue"
"push","push","pushed"
"put","put","put"
"python","python","python"
"qualif","qualif","qualifications"
"qualifi","qualifi","qualifications"
"qualit","qualit","quality"
"qualiti","qualiti","qualities"
"quantifi","quantifi",""
"quantit","quantit","quantitative"
"queri","queri","queries"
"queryeffici","queryeffici","queryefficient"
"question","question","questions"
"quick","quick","quickly"
"quo","quo","quo"
"race","race","race"
"racebas","racebas","racebased"
"racial","racial","racial"
"radic","radic","radicalization"
"radiolog","radiolog","radiology"
"radiologist","radiologist","radiologists"
"rai","rai","rais"
"rainbow","rainbow","rainbow"
"rais","rais","rais"
"ramif","ramif","ramifications"
"random","random","randomized"
"rang","rang","range"
"rank","rank","ranking"
"rapid","rapid","rapidly"
"rare","rare","rarely"
"rate","rate","rates"
"rather","rather","rather"
"ration","ration","rationale"
"rational","rational","rationale"
"raw","raw","raw"
"reach","reach","reachable"
"reachabl","reachabl","reachable"
"reaction","reaction","reactions"
"read","read","reading"
"real","real","real"
"realism","realism","realism"
"realismthat","realismthat","realismthat"
"realist","realist","realist"
"realiti","realiti","realities"
"realiz","realiz","realize"
"reallif","reallif","reallife"
"realworld","realworld","realworld"
"reason","reason","reasonable"
"rebutt","rebutt","rebuttal"
"recalibr","recalibr","recalibrating"
"receiv","receiv","receiving"
"recent","recent","recent"
"recidiv","recidiv","recidivism"
"recogn","recogn","recognized"
"recognit","recognit","recognition"
"recommend","recommend","recommendations"
"reconstruct","reconstruct","reconstructing"
"recontextualis","recontextualis","recontextualise"
"record","record","record"
"recordkeep","recordkeep","recordkeeping"
"recours","recours","recourse"
"recur","recur","recursive"
"recurs","recurs","recursive"
"redlist","redlist","redlist"
"reduc","reduc","reduce"
"reduct","reduct","reduction"
"refer","refer","refer"
"reflect","reflect","reflect"
"refocus","refocus","refocusing"
"regard","regard","regarding"
"regress","regress","regression"
"regul","regul","regularly"
"regular","regular","regularly"
"regulatori","regulatori",""
"reimagin","reimagin","reimagine"
"reinforc","reinforc","reinforce"
"relat","relat","related"
"relationship","relationship","relationships"
"releas","releas","release"
"relev","relev","relevant"
"relevantand","relevantand","relevantand"
"reli","reli","reliable"
"reliabl","reliabl","reliable"
"relu","relu","relu"
"remain","remain","remains"
"remark","remark","remarkably"
"remedi","remedi","remedies"
"remov","remov","removal"
"render","render","render"
"repaid","repaid","repaid"
"repercuss","repercuss","repercussions"
"replac","replac","replace"
"report","report","report"
"repres","repres","representative"
"represent","represent","representative"
"repress","repress","repression"
"reproduc","reproduc","reproduce"
"repurpos","repurpos","repurposing"
"reput","reput","reputation"
"requir","requir","requirements"
"rerank","rerank","reranking"
"research","research","research"
"resolv","resolv","resolve"
"resourc","resourc","resources"
"resourceconstrain","resourceconstrain","resourceconstrained"
"resourceintens","resourceintens","resourceintensive"
"respect","respect","respect"
"respond","respond","respond"
"respons","respons","responses"
"rest","rest","rested"
"restrict","restrict","restrictions"
"result","result","results"
"retain","retain","retaining"
"reus","reus","reused"
"reveal","reveal","reveal"
"revenu","revenu","revenue"
"revers","revers","reversing"
"review","review","review"
"revis","revis","revised"
"reward","reward","reward"
"rgb","rgb","rgb"
"rich","rich","rich"
"right","right","rights"
"rigor","rigor","rigorous"
"rise","rise","rise"
"risk","risk","risk"
"road","road","road"
"roadmap","roadmap","roadmap"
"robust","robust","robust"
"role","role","roles"
"roman","roman","roman"
"romanian","romanian","romanian"
"root","root","roots"
"roth","roth","roth"
"rough","rough","roughly"
"rule","rule","rule"
"run","run","running"
"runtim","runtim","runtime"
"russian","russian","russian"
"safeguard","safeguard","safeguards"
"safeti","safeti",""
"sale","sale","sales"
"salient","salient","salient"
"sampl","sampl","sample"
"sanction","sanction","sanction"
"satisfact","satisfact","satisfaction"
"satisfactorili","satisfactorili",""
"satisfi","satisfi","satisfies"
"saw","saw","saw"
"say","say","say"
"scalabl","scalabl","scalable"
"scale","scale","scale"
"scarc","scarc","scarce"
"scenario","scenario","scenarios"
"scholarship","scholarship","scholarship"
"school","school","school"
"scienc","scienc","science"
"sciencesuch","sciencesuch","sciencesuch"
"scientif","scientif","scientific"
"scientist","scientist","scientists"
"scope","scope","scope"
"scopus","scopus","scopus"
"score","score","score"
"scrub","scrub","scrubbed"
"scrutin","scrutin","scrutinize"
"scrutinyaccount","scrutinyaccount","scrutinyaccountability"
"scs","scs","scs"
"search","search","search"
"second","second","second"
"secret","secret","secret"
"section","section","sections"
"sector","sector","sector"
"see","see","seeks"
"seek","seek","seeks"
"seem","seem","seem"
"seen","seen","seen"
"select","select","select"
"selfcensorship","selfcensorship","selfcensorship"
"selfevid","selfevid","selfevident"
"selfknowledg","selfknowledg","selfknowledge"
"seller","seller","sellers"
"semant","semant","semantic"
"semiot","semiot","semiotic"
"sens","sens","sensitive"
"sensit","sensit","sensitive"
"sentenc","sentenc","sentencing"
"sepsi","sepsi","sepsis"
"seri","seri","series"
"serious","serious","serious"
"serv","serv","service"
"servic","servic","service"
"set","set","set"
"sever","sever","several"
"sex","sex","sex"
"sexgend","sexgend","sexgender"
"shaki","shaki",""
"shape","shape","shapes"
"share","share","share"
"sharpestposs","sharpestposs","sharpestpossible"
"shed","shed","shed"
"sheer","sheer","sheer"
"sheet","sheet","sheet"
"shehui","shehui","shehui"
"shift","shift","shift"
"short","short","short"
"show","show","show"
"shown","shown","shown"
"sick","sick","sick"
"side","side","side"
"signal","signal","signal"
"signific","signific","significant"
"silent","silent","silent"
"similar","similar","similar"
"simpl","simpl","simple"
"simpli","simpli","simplicity"
"simplic","simplic","simplicity"
"simplifi","simplifi","simplifies"
"simul","simul","simulated"
"simultan","simultan","simultaneously"
"sinc","sinc","since"
"singl","singl","single"
"siren","siren","siren"
"site","site","sites"
"situat","situat","situated"
"six","six","six"
"size","size","size"
"sketch","sketch","sketches"
"skin","skin","skin"
"slap","slap","slapping"
"slaveri","slaveri",""
"slight","slight","slightly"
"small","small","small"
"smaller","smaller","smaller"
"smart","smart","smart"
"smile","smile",""
"smooth","smooth","smoothing"
"snope","snope","snopes"
"socal","socal","socalled"
"social","social","social"
"societ","societ","society"
"societi","societi",""
"societyalt","societyalt","societyaltering"
"sociocultur","sociocultur","sociocultural"
"socioeconom","socioeconom","socioeconomic"
"sociolog","sociolog","sociology"
"sociologist","sociologist","sociologist"
"sociotechn","sociotechn","sociotechnical"
"softwar","softwar","software"
"sole","sole","solely"
"solidifi","solidifi",""
"solut","solut","solutions"
"solv","solv","solve"
"solver","solver","solver"
"someth","someth","something"
"sometim","sometim","sometimes"
"sophist","sophist","sophisticated"
"sought","sought","sought"
"sourc","sourc","source"
"sovereignti","sovereignti",""
"space","space","space"
"spammer","spammer","spammers"
"spanish","spanish","spanish"
"speak","speak","speak"
"special","special","special"
"specif","specif","specific"
"specifi","specifi","specific"
"spectrum","spectrum","spectrum"
"spell","spell","spell"
"spliddit","spliddit","spliddit"
"spread","spread","spread"
"stabil","stabil","stability"
"stabl","stabl","stable"
"stage","stage","stage"
"stakehold","stakehold","stakeholders"
"stanc","stanc","stance"
"standard","standard","standards"
"start","start","start"
"state","state","state"
"statement","statement","statement"
"stateoftheart","stateoftheart","stateoftheart"
"static","static","static"
"statist","statist","statistical"
"status","status","status"
"stay","stay","stayed"
"stem","stem","stems"
"step","step","step"
"stereotyp","stereotyp","stereotypes"
"still","still","still"
"stimul","stimul","stimulates"
"stoke","stoke","stoke"
"stori","stori","stories"
"storytel","storytel","storytelling"
"strateg","strateg","strategic"
"strategi","strategi","strategic"
"strategyrobust","strategyrobust","strategyrobustness"
"strength","strength","strengths"
"strict","strict","strict"
"strike","strike","strike"
"strong","strong","strong"
"structur","structur","structure"
"student","student","students"
"studi","studi","studies"
"studiesinfluenc","studiesinfluenc","studiesinfluenced"
"stv","stv","stv"
"subgroup","subgroup","subgroups"
"subject","subject","subject"
"subordin","subordin","subordinate"
"subpopul","subpopul","subpopulations"
"subsequ","subsequ","subsequent"
"subset","subset","subsets"
"subsid","subsid","subsidies"
"subsidi","subsidi","subsidies"
"substanc","substanc","substance"
"substant","substant","substantial"
"substanti","substanti","substantial"
"success","success","success"
"suffer","suffer","suffer"
"suffici","suffici","sufficient"
"suggest","suggest","suggest"
"suicid","suicid","suicide"
"suit","suit","suitable"
"suitabl","suitabl","suitable"
"sum","sum","sum"
"summar","summar","summary"
"summari","summari","summarization"
"superfici","superfici","superficially"
"superior","superior","superiors"
"supervis","supervis","supervised"
"supplement","supplement","supplement"
"suppli","suppli",""
"support","support","support"
"suppos","suppos","supposed"
"surfac","surfac","surfacing"
"surpris","surpris","surprisingly"
"surrend","surrend","surrenders"
"surrog","surrog","surrogate"
"surround","surround","surrounding"
"survey","survey","survey"
"suscept","suscept","susceptible"
"swedish","swedish","swedish"
"switchc","switchc","switchc"
"syllabi","syllabi","syllabi"
"synecdoch","synecdoch","synecdoche"
"synonym","synonym","synonymous"
"synthet","synthet","synthetic"
"system","system","systems"
"systemat","systemat","systematic"
"tackl","tackl","tackled"
"tagalog","tagalog","tagalog"
"tailor","tailor","tailoring"
"take","take","take"
"taken","taken","taken"
"target","target","targeted"
"task","task","tasks"
"taught","taught","taught"
"taxonomi","taxonomi",""
"teach","teach","teach"
"teacher","teacher","teacher"
"team","team","team"
"teamand","teamand","teamand"
"teas","teas","teasing"
"tech","tech","technical"
"technic","technic","technical"
"techniqu","techniqu","techniques"
"technolog","technolog","technology"
"technologist","technologist","technologists"
"templat","templat","template"
"tempor","tempor","temporally"
"tension","tension","tension"
"tentat","tentat","tentative"
"term","term","terms"
"test","test","test"
"testb","testb","testbed"
"text","text","text"
"themand","themand","themand"
"theme","theme","theme"
"themi","themi","themie"
"theoret","theoret","theoretical"
"theori","theori",""
"therebi","therebi",""
"therefor","therefor","therefore"
"theyr","theyr","theyre"
"thing","thing","things"
"think","think","thinking"
"thinkingalgorithm","thinkingalgorithm","thinkingalgorithmic"
"third","third","third"
"thirdparti","thirdparti",""
"thismust","thismust","thismust"
"though","though","though"
"thought","thought","thought"
"threaten","threaten","threatens"
"three","three","three"
"threshold","threshold","threshold"
"throughout","throughout","throughout"
"thus","thus","thus"
"tilt","tilt","tilt"
"time","time","time"
"timeconsum","timeconsum","timeconsuming"
"tip","tip","tip"
"tixi","tixi","tixi"
"today","today","today"
"togeth","togeth","together"
"tool","tool","tools"
"toolkit","toolkit","toolkit"
"top","top","topics"
"topic","topic","topics"
"topicrelev","topicrelev","topicrelevant"
"topk","topk","topk"
"topm","topm","topm"
"total","total","total"
"tout","tout","tout"
"toward","toward","towards"
"toxic","toxic","toxic"
"trace","trace","trace"
"tractabl","tractabl","tractable"
"traction","traction","traction"
"tradeoff","tradeoff","tradeoff"
"tradit","tradit","traditional"
"traffic","traffic","traffic"
"train","train","training"
"trait","trait","trait"
"tran","tran","transparency"
"transact","transact","transaction"
"transfer","transfer","transferring"
"transform","transform","transform"
"transgend","transgend","transgender"
"translat","translat","translation"
"transpar","transpar","transparency"
"transport","transport","transport"
"trap","trap","traps"
"treat","treat","treatment"
"treatment","treatment","treatment"
"trend","trend","trend"
"treu","treu","treu"
"trick","trick","trick"
"tripadvisor","tripadvisor","tripadvisor"
"tripl","tripl","triple"
"true","true","true"
"truli","truli",""
"trust","trust","trust"
"trustworthi","trustworthi","trustworthiness"
"truth","truth","truth"
"turk","turk","turk"
"turn","turn","turn"
"twentieth","twentieth","twentieth"
"twitter","twitter","twitter"
"two","two","two"
"twolay","twolay","twolayer"
"twostag","twostag","twostage"
"type","type","type"
"typic","typic","typically"
"ultim","ultim","ultimately"
"unaccount","unaccount","unaccountable"
"unambigu","unambigu","unambiguous"
"unbias","unbias","unbiased"
"uncensor","uncensor","uncensored"
"uncertain","uncertain","uncertain"
"uncertainti","uncertainti",""
"uncheck","uncheck","unchecked"
"uncov","uncov","uncover"
"und","und","understand"
"under","under","understand"
"underexamin","underexamin","underexamined"
"underexplor","underexplor","underexplored"
"undermin","undermin","undermines"
"underperform","underperform","underperformed"
"underpin","underpin","underpinnings"
"underscor","underscor","underscores"
"underserv","underserv","underserved"
"understand","understand","understand"
"understood","understood","understood"
"undertak","undertak","undertake"
"underway","underway","underway"
"underwritten","underwritten","underwritten"
"undesir","undesir","undesirable"
"undetect","undetect","undetected"
"unduli","unduli",""
"unequ","unequ","unequal"
"unexpected","unexpected","unexpectedness"
"unfair","unfair","unfairness"
"unfavor","unfavor","unfavorable"
"unfortun","unfortun","unfortunately"
"unicorn","unicorn","unicorns"
"unidentifi","unidentifi","unidentifiable"
"unifi","unifi","unified"
"union","union","union"
"uniqu","uniqu","unique"
"unit","unit","unit"
"univers","univers","universities"
"univoc","univoc","univocal"
"unless","unless","unless"
"unlik","unlik","unlike"
"unlock","unlock","unlocks"
"unobserv","unobserv","unobservable"
"unobtrus","unobtrus","unobtrusive"
"unpredict","unpredict","unpredictable"
"unquest","unquest","unquestioning"
"unrealist","unrealist","unrealistic"
"unreport","unreport","unreported"
"unstabl","unstabl","unstable"
"untruth","untruth","untruthful"
"unusu","unusu","unusual"
"unwarr","unwarr","unwarranted"
"upon","upon","upon"
"upsid","upsid","upsides"
"usabl","usabl",""
"usag","usag","usage"
"usbas","usbas","usbased"
"use","use","users"
"user","user","users"
"uss","uss","uss"
"usual","usual","usually"
"util","util","utility"
"utkfac","utkfac","utkface"
"utmost","utmost","utmost"
"vaccin","vaccin","vaccine"
"valid","valid","validity"
"valu","valu","value"
"valuabl","valuabl","valuable"
"valuat","valuat","valuation"
"vari","vari","variety"
"variabl","variabl","variables"
"varian","varian","varian"
"variant","variant","variants"
"varieti","varieti",""
"various","various","various"
"vehicl","vehicl","vehicle"
